scontrino_id,cliente_id,data_scontrino,valuta_id,punto_vendita_id
250,238,2024-01-29,4,29
251,444,2024-01-29,2,18
252,821,2024-01-29,1,30
253,383,2024-01-29,4,19
254,312,2024-01-29,3,14
255,307,2024-01-29,2,16
256,77,2024-01-29,4,21
257,666,2024-01-29,4,20
258,769,2024-01-30,1,5
259,22,2024-01-30,1,27
260,221,2024-01-30,1,7
261,949,2024-01-30,4,20
262,512,2024-01-30,2,16
263,781,2024-01-30,5,26
264,78,2024-01-30,1,8
265,786,2024-01-30,1,6
266,436,2024-01-31,1,2
267,793,2024-01-31,5,23
268,402,2024-01-31,4,29
269,767,2024-01-31,1,1
270,881,2024-01-31,3,15
271,278,2024-01-31,1,3
272,777,2024-01-31,1,2
273,743,2024-01-31,2,17
274,700,2024-01-31,1,7
275,198,2024-02-01,1,7
276,801,2024-02-01,1,27
277,630,2024-02-01,1,4
278,339,2024-02-01,5,24
279,398,2024-02-01,1,4
280,305,2024-02-01,1,5
281,794,2024-02-01,4,19
282,48,2024-02-01,5,24
283,900,2024-02-01,1,4
284,542,2024-02-01,1,2
285,880,2024-02-01,4,20
286,730,2024-02-02,5,26
287,772,2024-02-02,1,3
288,575,2024-02-02,4,20
289,431,2024-02-02,1,8
290,886,2024-02-02,5,23
291,108,2024-02-02,4,20
292,288,2024-02-02,3,28
293,986,2024-02-02,1,1
294,621,2024-02-02,5,23
295,774,2024-02-03,1,9
296,121,2024-02-03,1,8
297,311,2024-02-03,3,28
298,446,2024-02-03,1,25
299,521,2024-02-03,1,4
300,674,2024-02-03,1,27
301,834,2024-02-03,1,12
302,630,2024-02-03,4,19
303,359,2024-02-03,4,19
304,983,2024-02-03,1,10
305,455,2024-02-03,4,21
306,365,2024-02-03,2,16
307,785,2024-02-04,5,23
308,688,2024-02-04,1,10
309,630,2024-02-04,2,18
310,62,2024-02-04,5,22
311,484,2024-02-04,2,17
312,689,2024-02-04,1,4
313,218,2024-02-04,5,24
314,93,2024-02-04,1,6
315,514,2024-02-04,5,22
316,177,2024-02-04,4,19
317,308,2024-02-04,1,11
318,157,2024-02-04,1,1
319,425,2024-02-04,4,20
320,485,2024-02-05,3,13
321,614,2024-02-05,4,19
322,47,2024-02-05,1,2
323,73,2024-02-05,1,9
324,502,2024-02-05,2,16
325,478,2024-02-05,1,10
326,253,2024-02-05,5,23
327,764,2024-02-05,1,25
328,773,2024-02-05,1,11
329,362,2024-02-05,1,9
330,969,2024-02-05,1,4
331,308,2024-02-05,4,20
332,609,2024-02-06,5,26
333,460,2024-02-06,1,2
334,758,2024-02-06,1,25
335,792,2024-02-06,5,23
336,822,2024-02-06,1,5
337,322,2024-02-06,5,24
338,452,2024-02-06,2,18
339,514,2024-02-06,1,30
340,657,2024-02-06,1,10
341,633,2024-02-06,1,11
342,172,2024-02-06,4,19
343,933,2024-02-07,1,5
344,738,2024-02-07,4,19
345,724,2024-02-07,1,3
346,339,2024-02-07,3,15
347,160,2024-02-07,4,19
348,2,2024-02-07,1,11
349,713,2024-02-07,3,13
350,665,2024-02-07,5,24
351,581,2024-02-08,2,18
352,477,2024-02-08,1,3
353,802,2024-02-08,4,21
354,871,2024-02-08,1,11
355,40,2024-02-08,2,17
356,66,2024-02-08,4,19
357,57,2024-02-08,5,22
358,896,2024-02-08,1,27
359,929,2024-02-08,5,22
360,920,2024-02-08,4,20
361,490,2024-02-08,1,12
362,441,2024-02-09,5,26
363,699,2024-02-09,3,13
364,594,2024-02-09,1,25
365,765,2024-02-09,2,17
366,273,2024-02-09,1,12
367,219,2024-02-09,3,14
368,610,2024-02-09,4,29
369,649,2024-02-09,2,17
370,192,2024-02-09,4,21
371,947,2024-02-09,1,11
372,247,2024-02-09,1,5
373,775,2024-02-10,1,12
374,625,2024-02-10,5,26
375,545,2024-02-10,1,4
376,432,2024-02-10,5,22
377,647,2024-02-10,2,18
378,413,2024-02-10,3,14
379,709,2024-02-10,1,30
380,833,2024-02-10,1,3
381,506,2024-02-10,1,27
382,666,2024-02-10,1,25
383,436,2024-02-10,3,14
384,427,2024-02-10,3,14
385,936,2024-02-10,1,1
386,796,2024-02-10,1,30
387,775,2024-02-10,1,8
388,718,2024-02-10,2,17
389,665,2024-02-11,1,25
390,337,2024-02-11,1,11
391,846,2024-02-11,1,11
392,118,2024-02-11,1,10
393,796,2024-02-11,4,29
394,384,2024-02-11,1,12
395,494,2024-02-11,4,19
396,330,2024-02-11,5,22
397,113,2024-02-11,1,12
398,761,2024-02-11,3,15
399,186,2024-02-11,1,12
400,296,2024-02-11,1,4
401,558,2024-02-12,1,11
402,139,2024-02-12,1,7
403,900,2024-02-12,1,5
404,784,2024-02-12,1,4
405,828,2024-02-12,1,25
406,530,2024-02-12,1,30
407,34,2024-02-12,1,11
408,806,2024-02-12,3,28
409,89,2024-02-12,2,18
410,50,2024-02-12,4,29
411,514,2024-02-13,1,11
412,21,2024-02-13,1,10
413,773,2024-02-13,4,19
414,769,2024-02-13,1,25
415,851,2024-02-13,2,18
416,370,2024-02-13,4,20
417,96,2024-02-13,5,26
418,739,2024-02-13,5,26
419,964,2024-02-13,1,27
420,884,2024-02-13,2,16
421,402,2024-02-13,3,13
422,710,2024-02-14,2,16
423,488,2024-02-14,1,27
424,927,2024-02-14,2,18
425,88,2024-02-14,3,28
426,123,2024-02-14,4,21
427,295,2024-02-14,5,24
428,383,2024-02-14,3,28
429,450,2024-02-14,1,30
430,533,2024-02-14,5,26
431,477,2024-02-14,3,28
432,369,2024-02-14,2,16
433,483,2024-02-15,2,17
434,218,2024-02-15,5,22
435,181,2024-02-15,3,14
436,298,2024-02-15,5,26
437,937,2024-02-15,1,6
438,380,2024-02-15,1,5
439,646,2024-02-15,1,10
440,526,2024-02-15,2,16
441,862,2024-02-15,1,30
442,993,2024-02-15,5,26
443,943,2024-02-15,5,22
444,156,2024-02-16,1,30
445,970,2024-02-16,5,26
446,760,2024-02-16,1,11
447,913,2024-02-16,3,14
448,122,2024-02-16,3,15
449,465,2024-02-16,1,6
450,581,2024-02-17,3,13
451,420,2024-02-17,1,10
452,764,2024-02-17,4,21
453,264,2024-02-17,3,15
454,762,2024-02-17,1,10
455,968,2024-02-17,4,19
456,562,2024-02-17,4,19
457,20,2024-02-17,1,12
458,138,2024-02-17,3,15
459,929,2024-02-17,1,9
460,82,2024-02-17,1,9
461,12,2024-02-18,4,20
462,30,2024-02-18,1,12
463,929,2024-02-18,1,3
464,180,2024-02-18,1,2
465,798,2024-02-18,4,19
466,734,2024-02-18,1,9
467,879,2024-02-18,2,18
468,587,2024-02-18,1,1
469,422,2024-02-18,3,13
470,477,2024-02-19,2,16
471,657,2024-02-19,4,19
472,864,2024-02-19,1,10
473,547,2024-02-19,1,7
474,882,2024-02-19,4,29
475,794,2024-02-19,1,8
476,570,2024-02-20,1,8
477,367,2024-02-20,1,3
478,84,2024-02-20,4,19
479,273,2024-02-20,1,30
480,437,2024-02-20,1,6
481,68,2024-02-20,1,8
482,211,2024-02-20,1,10
483,702,2024-02-20,1,11
484,900,2024-02-20,1,27
485,373,2024-02-20,1,3
486,55,2024-02-20,4,20
487,351,2024-02-20,5,24
488,38,2024-02-21,5,23
489,984,2024-02-21,5,22
490,276,2024-02-21,1,2
491,362,2024-02-21,1,6
492,813,2024-02-21,1,30
493,560,2024-02-21,1,4
494,498,2024-02-21,3,15
495,933,2024-02-21,1,27
496,596,2024-02-21,4,21
497,217,2024-02-22,1,2
498,40,2024-02-22,3,13
499,23,2024-02-22,4,20
500,171,2024-02-22,4,20
501,144,2024-02-22,1,27
502,54,2024-02-22,1,11
503,721,2024-02-22,3,14
504,670,2024-02-22,1,30
505,472,2024-02-22,5,24
506,275,2024-02-22,2,16
507,341,2024-02-22,5,23
508,923,2024-02-22,4,29
509,289,2024-02-22,4,29
510,942,2024-02-22,4,19
511,256,2024-02-23,1,25
512,291,2024-02-23,1,6
513,131,2024-02-23,2,17
514,731,2024-02-23,1,2
515,937,2024-02-23,2,16
516,446,2024-02-23,5,24
517,749,2024-02-23,4,20
518,729,2024-02-23,4,19
519,346,2024-02-23,2,16
520,89,2024-02-23,2,16
521,119,2024-02-23,4,20
522,258,2024-02-23,1,2
523,175,2024-02-23,3,13
524,615,2024-02-24,4,29
525,703,2024-02-24,3,15
526,114,2024-02-24,1,7
527,359,2024-02-24,1,25
528,76,2024-02-24,1,30
529,748,2024-02-24,5,26
530,692,2024-02-24,1,11
531,385,2024-02-24,5,24
532,219,2024-02-24,1,1
533,480,2024-02-24,4,20
534,351,2024-02-24,4,20
535,377,2024-02-24,1,11
536,429,2024-02-25,1,3
537,285,2024-02-25,1,6
538,693,2024-02-25,5,24
539,152,2024-02-25,4,29
540,67,2024-02-25,1,25
541,292,2024-02-25,2,16
542,386,2024-02-25,1,30
543,216,2024-02-25,1,11
544,290,2024-02-25,1,5
545,772,2024-02-25,1,10
546,884,2024-02-26,1,8
547,829,2024-02-26,3,14
548,892,2024-02-26,1,1
549,340,2024-02-26,5,24
550,338,2024-02-26,1,5
551,618,2024-02-26,3,14
552,21,2024-02-26,5,26
553,52,2024-02-26,1,1
554,869,2024-02-27,4,19
555,395,2024-02-27,2,16
556,800,2024-02-27,3,28
557,647,2024-02-27,4,20
558,431,2024-02-27,1,30
559,340,2024-02-27,5,24
560,233,2024-02-27,1,8
561,737,2024-02-27,4,29
562,471,2024-02-27,1,1
563,239,2024-02-27,1,9
564,632,2024-02-28,3,28
565,503,2024-02-28,1,27
566,316,2024-02-28,1,6
567,672,2024-02-28,1,5
568,457,2024-02-28,1,3
569,839,2024-02-28,2,18
570,846,2024-02-28,1,12
571,277,2024-02-28,1,11
572,481,2024-02-28,3,15
573,326,2024-02-28,2,18
574,735,2024-02-28,4,29
575,945,2024-02-28,1,12
576,513,2024-02-29,1,25
577,45,2024-02-29,5,23
578,768,2024-02-29,5,24
579,757,2024-02-29,1,4
580,997,2024-02-29,1,12
581,742,2024-02-29,1,2
582,323,2024-02-29,1,2
583,184,2024-02-29,2,16
584,267,2024-03-01,1,8
585,522,2024-03-01,1,25
586,520,2024-03-01,3,13
587,205,2024-03-01,1,3
588,773,2024-03-01,1,9
589,35,2024-03-01,1,1
590,938,2024-03-01,4,20
591,405,2024-03-01,1,9
592,604,2024-03-01,3,28
593,417,2024-03-01,1,27
594,367,2024-03-01,3,14
595,299,2024-03-01,2,17
596,927,2024-03-01,1,11
597,363,2024-03-02,1,27
598,580,2024-03-02,1,9
599,154,2024-03-02,3,28
600,921,2024-03-02,3,15
601,95,2024-03-02,5,24
602,604,2024-03-02,5,26
603,669,2024-03-02,1,12
604,801,2024-03-02,5,26
605,295,2024-03-02,1,25
606,714,2024-03-02,5,24
607,526,2024-03-02,1,30
608,607,2024-03-02,1,10
609,542,2024-03-02,3,15
610,174,2024-03-02,3,15
611,361,2024-03-02,4,20
612,834,2024-03-03,1,12
613,899,2024-03-03,1,7
614,292,2024-03-03,1,4
615,380,2024-03-03,5,22
616,556,2024-03-03,4,21
617,950,2024-03-03,4,29
618,485,2024-03-03,5,26
619,31,2024-03-03,1,27
620,907,2024-03-03,1,11
621,874,2024-03-03,4,20
622,561,2024-03-03,2,16
623,239,2024-03-04,1,1
624,68,2024-03-04,1,10
625,162,2024-03-04,1,8
626,374,2024-03-04,1,8
627,389,2024-03-04,1,6
628,134,2024-03-04,1,25
629,607,2024-03-04,1,8
630,75,2024-03-04,2,17
631,265,2024-03-04,1,11
632,396,2024-03-04,1,11
633,204,2024-03-04,1,30
634,682,2024-03-05,5,24
635,549,2024-03-05,4,19
636,839,2024-03-05,3,28
637,276,2024-03-05,4,29
638,798,2024-03-05,3,13
639,185,2024-03-05,4,19
640,85,2024-03-05,1,25
641,901,2024-03-05,2,18
642,304,2024-03-05,4,29
643,558,2024-03-05,2,18
644,118,2024-03-05,1,12
645,862,2024-03-05,4,20
646,599,2024-03-06,3,13
647,181,2024-03-06,1,9
648,366,2024-03-06,3,15
649,210,2024-03-06,4,19
650,285,2024-03-06,5,23
651,902,2024-03-06,1,25
652,297,2024-03-06,1,25
653,868,2024-03-06,3,28
654,30,2024-03-06,1,9
655,281,2024-03-06,4,29
656,894,2024-03-06,3,14
657,473,2024-03-07,1,4
658,720,2024-03-07,4,19
659,651,2024-03-07,1,25
660,320,2024-03-07,2,17
661,431,2024-03-07,4,20
662,18,2024-03-07,1,11
663,883,2024-03-07,2,17
664,220,2024-03-07,3,14
665,779,2024-03-07,5,24
666,693,2024-03-07,1,30
667,814,2024-03-08,1,4
668,563,2024-03-08,5,23
669,667,2024-03-08,1,9
670,91,2024-03-08,4,20
671,684,2024-03-08,1,27
672,191,2024-03-08,1,2
673,758,2024-03-08,2,16
674,691,2024-03-08,2,16
675,300,2024-03-08,1,1
676,266,2024-03-08,4,29
677,618,2024-03-08,1,2
678,871,2024-03-08,3,14
679,563,2024-03-09,1,11
680,68,2024-03-09,2,17
681,942,2024-03-09,1,12
682,183,2024-03-09,1,8
683,370,2024-03-09,1,1
684,223,2024-03-09,2,16
685,962,2024-03-09,1,8
686,685,2024-03-09,1,5
687,759,2024-03-09,1,6
688,511,2024-03-09,1,3
689,624,2024-03-09,4,20
690,586,2024-03-10,1,11
691,796,2024-03-10,4,19
692,40,2024-03-10,5,23
693,202,2024-03-10,1,9
694,334,2024-03-10,3,15
695,703,2024-03-10,1,9
696,467,2024-03-10,4,19
697,983,2024-03-10,1,2
698,622,2024-03-10,1,27
699,152,2024-03-10,1,30
700,903,2024-03-10,5,22
701,91,2024-03-10,5,22
702,702,2024-03-10,1,9
703,309,2024-03-10,1,8
704,383,2024-03-10,4,19
705,455,2024-03-11,1,2
706,718,2024-03-11,1,4
707,122,2024-03-11,3,13
708,113,2024-03-11,1,4
709,581,2024-03-11,5,22
710,282,2024-03-11,3,14
711,426,2024-03-11,1,5
712,333,2024-03-11,4,20
713,396,2024-03-11,5,22
714,987,2024-03-12,3,15
715,639,2024-03-12,2,18
716,907,2024-03-12,4,19
717,755,2024-03-12,1,10
718,322,2024-03-12,1,4
719,850,2024-03-12,1,7
720,376,2024-03-12,1,12
721,152,2024-03-12,1,4
722,889,2024-03-12,5,22
723,64,2024-03-12,4,21
724,648,2024-03-12,3,13
725,860,2024-03-12,1,25
726,836,2024-03-13,1,4
727,132,2024-03-13,5,26
728,594,2024-03-13,1,2
729,738,2024-03-13,2,17
730,77,2024-03-13,1,12
731,506,2024-03-13,4,20
732,858,2024-03-13,1,1
733,685,2024-03-13,1,8
734,696,2024-03-13,1,1
735,884,2024-03-13,1,25
736,660,2024-03-13,2,16
737,35,2024-03-13,4,29
738,992,2024-03-13,4,20
739,481,2024-03-13,3,14
740,875,2024-03-14,1,4
741,367,2024-03-14,4,19
742,976,2024-03-14,3,13
743,977,2024-03-14,4,20
744,761,2024-03-14,1,30
745,480,2024-03-14,4,20
746,80,2024-03-14,2,17
747,415,2024-03-14,5,26
748,976,2024-03-14,3,28
749,321,2024-03-14,2,16
750,236,2024-03-15,4,20
751,952,2024-03-15,5,26
752,847,2024-03-15,3,13
753,570,2024-03-15,1,10
754,659,2024-03-15,5,23
755,972,2024-03-15,2,16
756,108,2024-03-15,4,20
757,308,2024-03-15,5,24
758,103,2024-03-15,4,19
759,634,2024-03-15,5,24
760,904,2024-03-16,4,20
761,56,2024-03-16,4,29
762,959,2024-03-16,5,24
763,140,2024-03-16,4,20
764,178,2024-03-16,2,16
765,545,2024-03-16,5,22
766,563,2024-03-16,4,19
767,729,2024-03-16,3,15
768,767,2024-03-16,3,28
769,459,2024-03-16,5,22
770,320,2024-03-16,1,2
771,259,2024-03-16,3,14
772,986,2024-03-16,5,22
773,307,2024-03-16,2,16
774,336,2024-03-16,2,18
775,704,2024-03-16,4,19
776,753,2024-03-16,1,27
777,311,2024-03-16,1,3
778,885,2024-03-17,2,18
779,890,2024-03-17,1,27
780,212,2024-03-17,1,5
781,52,2024-03-17,4,20
782,516,2024-03-17,1,27
783,779,2024-03-17,1,11
784,903,2024-03-17,4,20
785,64,2024-03-17,2,18
786,706,2024-03-17,3,13
787,910,2024-03-17,1,9
788,607,2024-03-17,3,15
789,269,2024-03-18,1,11
790,501,2024-03-18,1,5
791,185,2024-03-18,1,4
792,345,2024-03-18,1,30
793,255,2024-03-18,1,25
794,167,2024-03-18,5,26
795,249,2024-03-18,1,11
796,199,2024-03-18,4,19
797,353,2024-03-18,4,19
798,505,2024-03-18,4,19
799,249,2024-03-18,3,14
800,516,2024-03-18,4,21
801,51,2024-03-19,4,21
802,648,2024-03-19,2,16
803,280,2024-03-19,1,5
804,199,2024-03-19,3,13
805,827,2024-03-19,1,27
806,751,2024-03-19,1,27
807,342,2024-03-19,5,24
808,830,2024-03-19,4,20
809,234,2024-03-19,2,16
810,755,2024-03-19,1,25
811,212,2024-03-19,3,28
812,669,2024-03-20,1,3
813,249,2024-03-20,3,14
814,1,2024-03-20,1,30
815,751,2024-03-20,1,3
816,576,2024-03-20,1,7
817,426,2024-03-20,2,16
818,160,2024-03-20,2,18
819,860,2024-03-20,1,12
820,166,2024-03-21,1,27
821,555,2024-03-21,1,11
822,145,2024-03-21,3,14
823,152,2024-03-21,3,15
824,976,2024-03-21,1,3
825,467,2024-03-21,1,4
826,981,2024-03-21,1,11
827,965,2024-03-21,1,9
828,694,2024-03-21,1,10
829,764,2024-03-21,1,2
830,734,2024-03-21,1,11
831,969,2024-03-21,4,21
832,74,2024-03-22,2,18
833,388,2024-03-22,2,18
834,339,2024-03-22,4,21
835,737,2024-03-22,5,26
836,79,2024-03-22,5,22
837,221,2024-03-22,1,3
838,544,2024-03-22,4,20
839,567,2024-03-22,1,10
840,756,2024-03-22,2,18
841,646,2024-03-22,1,7
842,212,2024-03-22,5,23
843,512,2024-03-22,1,1
844,112,2024-03-23,1,4
845,871,2024-03-23,3,28
846,442,2024-03-23,1,3
847,375,2024-03-23,5,26
848,790,2024-03-23,5,24
849,946,2024-03-23,1,8
850,850,2024-03-23,1,10
851,840,2024-03-23,2,17
852,730,2024-03-23,3,15
853,271,2024-03-23,1,25
854,1000,2024-03-23,1,8
855,754,2024-03-23,1,4
856,783,2024-03-23,1,25
857,167,2024-03-23,5,26
858,686,2024-03-24,3,28
859,830,2024-03-24,3,14
860,43,2024-03-24,1,10
861,755,2024-03-24,1,25
862,954,2024-03-24,3,28
863,350,2024-03-24,3,15
864,374,2024-03-24,1,12
865,213,2024-03-24,1,27
866,545,2024-03-24,3,13
867,19,2024-03-24,5,24
868,789,2024-03-24,1,11
869,142,2024-03-24,4,21
870,490,2024-03-24,1,25
871,784,2024-03-24,5,26
872,312,2024-03-24,1,2
873,832,2024-03-24,1,27
874,591,2024-03-24,5,22
875,275,2024-03-25,1,25
876,849,2024-03-25,2,16
877,38,2024-03-25,1,9
878,194,2024-03-25,3,28
879,143,2024-03-25,3,14
880,941,2024-03-25,3,13
881,3,2024-03-25,4,21
882,269,2024-03-25,5,23
883,958,2024-03-25,4,19
884,808,2024-03-25,2,17
885,886,2024-03-26,1,2
886,138,2024-03-26,1,7
887,44,2024-03-26,1,10
888,710,2024-03-26,2,16
889,496,2024-03-26,2,16
890,750,2024-03-26,3,15
891,531,2024-03-26,1,9
892,359,2024-03-26,4,20
893,458,2024-03-26,1,11
894,56,2024-03-27,1,25
895,48,2024-03-27,4,20
896,865,2024-03-27,2,16
897,739,2024-03-27,4,29
898,301,2024-03-27,4,19
899,132,2024-03-27,2,18
900,35,2024-03-27,2,16
901,498,2024-03-27,3,14
902,67,2024-03-27,3,13
903,298,2024-03-27,1,8
904,523,2024-03-27,5,22
905,759,2024-03-27,1,30
906,239,2024-03-28,4,19
907,952,2024-03-28,1,7
908,718,2024-03-28,3,14
909,734,2024-03-28,1,12
910,699,2024-03-28,1,27
911,82,2024-03-28,4,19
912,28,2024-03-28,3,15
913,815,2024-03-28,4,29
914,190,2024-03-28,1,8
915,44,2024-03-28,4,21
916,251,2024-03-28,5,24
917,754,2024-03-29,1,12
918,911,2024-03-29,5,22
919,690,2024-03-29,1,4
920,542,2024-03-29,1,10
921,145,2024-03-29,1,1
922,412,2024-03-29,1,1
923,45,2024-03-29,3,13
924,529,2024-03-29,3,15
925,157,2024-03-29,5,24
926,923,2024-03-29,1,30
927,634,2024-03-29,5,24
928,127,2024-03-29,4,21
