scontrino_id,numero_riga,prodotto_id,quantita,prezzo_unitario_locale
48,1,83,1,214.24
49,1,45,1,471.38
50,1,38,1,6108.59
51,1,86,1,218.66
52,1,24,1,436.72
52,2,74,1,193.98
53,1,45,1,520.8
53,2,85,1,204.28
53,3,71,1,188.8
54,1,58,1,622.47
54,2,81,1,166.82
55,1,28,1,149815.87
55,2,9,1,38323.1
55,3,62,1,25776.76
56,1,78,1,177.97
57,1,37,1,416.81
57,2,15,1,211.15
57,3,66,1,630.85
58,1,28,1,848.05
59,1,59,2,701.22
60,1,96,1,209.54
61,1,3,1,508.89
61,2,63,1,974.9
61,3,93,1,704.42
62,1,28,2,947.12
62,2,72,2,585.06
63,1,18,2,228.78
63,2,1,1,976.38
63,3,51,1,455.88
64,1,85,1,222.09
64,2,4,1,718.91
65,1,74,1,184.7
66,1,28,1,862.5
66,2,15,1,250.82
66,3,86,1,209.05
67,1,49,1,506.99
67,2,70,1,189.86
68,1,52,2,89469.21
69,1,83,1,210.87
70,1,14,1,918.09
70,2,83,1,221.28
71,1,2,1,1350.08
71,2,13,1,3973.17
72,1,49,1,433.04
72,2,57,2,176.99
72,3,73,1,421.74
73,1,25,2,214.6
73,2,32,2,209.97
74,1,92,1,1157.81
74,2,70,1,215.04
75,1,90,1,5343.99
75,2,85,1,1643.56
76,1,94,2,390.47
77,1,57,1,31836.83
78,1,96,2,222.24
78,2,74,1,229.11
79,1,22,1,605.66
79,2,9,1,206.62
79,3,81,1,183.73
80,1,92,1,184132.11
81,1,59,1,621.82
81,2,47,1,488.48
81,3,7,1,147.0
82,1,30,2,100209.63
82,2,8,1,38924.74
83,1,68,1,4680.66
84,1,3,1,86554.89
85,1,54,1,540.82
85,2,37,1,472.43
85,3,34,1,585.95
86,1,24,1,84623.76
86,2,84,1,24703.98
87,1,83,1,243.16
87,2,47,1,516.04
87,3,41,1,186.47
88,1,59,2,714.2
88,2,86,2,238.74
88,3,22,1,554.53
89,1,30,1,5190.52
89,2,17,2,1077.73
89,3,97,1,1289.6
90,1,91,1,715.46
91,1,77,1,225.23
91,2,46,2,975.15
91,3,12,1,960.55
92,1,71,1,33641.67
92,2,98,1,110450.19
93,1,16,1,423.41
93,2,58,1,596.19
94,1,35,1,201941.67
95,1,52,1,95492.35
95,2,3,1,88381.71
95,3,25,1,38884.41
96,1,80,1,632.46
96,2,29,1,241.32
97,1,23,1,799.8
97,2,55,1,477.56
97,3,70,1,188.7
98,1,82,1,973.39
99,1,57,1,215.32
99,2,100,1,295.3
99,3,7,1,173.05
100,1,33,1,562.61
101,1,90,1,653.17
101,2,37,1,448.85
102,1,51,1,497.24
102,2,77,1,212.81
102,3,13,1,498.94
103,1,74,2,1701.14
103,2,39,1,1213.19
104,1,53,1,743.5
105,1,20,1,250.98
105,2,93,1,628.98
105,3,63,1,795.35
106,1,75,1,1710.43
106,2,73,1,4208.64
106,3,58,1,4390.9
107,1,47,2,538.96
107,2,40,1,260.12
107,3,70,1,165.92
108,1,41,1,160.24
108,2,12,1,775.15
109,1,16,2,389.25
110,1,73,1,591.02
110,2,65,1,763.5
110,3,90,1,638.68
111,1,45,1,501.73
112,1,12,2,785.28
112,2,11,1,157.94
113,1,16,1,70932.45
113,2,40,1,45816.98
113,3,21,1,169764.92
114,1,73,1,506.43
115,1,60,1,796.33
115,2,12,2,774.45
115,3,13,1,526.14
116,1,82,2,927.65
116,2,9,1,183.61
116,3,56,1,820.19
117,1,89,1,1575.54
117,2,77,1,1778.27
117,3,86,1,1564.04
118,1,47,1,503.77
118,2,8,2,228.37
118,3,71,1,170.0
119,1,21,1,964.51
119,2,2,1,209.54
120,1,58,1,566.87
121,1,92,1,1149.19
121,2,2,1,187.43
122,1,65,1,6728.95
122,2,60,1,5942.13
122,3,4,1,6126.75
123,1,36,1,334.8
123,2,68,1,568.95
124,1,55,1,531.12
124,2,35,1,1085.01
125,1,97,1,1259.1
125,2,69,1,2198.22
125,3,72,1,4405.28
126,1,65,2,5831.52
127,1,32,1,229.91
128,1,77,1,174.64
128,2,98,1,597.88
128,3,51,1,390.46
129,1,82,1,8411.83
129,2,41,2,1447.77
130,1,14,1,691.25
131,1,85,1,195.2
131,2,65,1,791.2
131,3,34,2,643.24
132,1,28,1,738.54
133,1,18,1,203.52
133,2,39,1,160.58
134,1,15,1,229.75
135,1,60,1,899.85
135,2,49,2,514.72
135,3,37,1,438.33
136,1,78,1,162.34
137,1,42,1,644.22
138,1,88,1,194.24
138,2,74,1,207.89
139,1,69,1,281.26
139,2,75,1,215.4
140,1,15,1,238.38
141,1,77,1,247.68
141,2,97,2,147.04
141,3,20,1,283.46
142,1,2,1,195.65
142,2,5,1,177.48
143,1,83,1,252.5
144,1,83,1,38994.01
144,2,28,1,164862.5
144,3,44,1,36852.54
145,1,31,2,870.76
145,2,37,1,418.39
145,3,32,1,244.19
146,1,84,2,147.27
147,1,94,1,68255.98
147,2,37,1,78337.85
148,1,7,1,149.13
148,2,29,1,211.17
149,1,21,1,842.99
150,1,13,1,4045.35
151,1,30,1,113623.55
151,2,92,2,188891.98
152,1,91,2,561.01
152,2,86,2,204.33
152,3,1,1,864.57
153,1,48,1,545.9
153,2,10,1,180.64
153,3,47,1,469.96
154,1,100,1,316.11
155,1,66,1,804.04
155,2,22,1,555.93
155,3,27,1,734.67
156,1,72,2,564.12
156,2,47,1,476.21
157,1,69,1,2252.62
157,2,44,1,1706.84
158,1,36,1,60833.09
159,1,67,1,2239.73
160,1,58,1,535.48
160,2,88,1,168.37
160,3,80,1,676.16
161,1,72,1,676.75
162,1,9,1,210.08
162,2,11,1,159.56
162,3,90,1,662.97
163,1,23,1,6270.54
164,1,96,1,1693.09
165,1,60,1,894.56
166,1,95,1,180.99
166,2,58,2,478.3
167,1,50,1,829.49
167,2,60,1,821.84
168,1,68,1,697.81
168,2,66,1,898.96
169,1,54,2,544.5
170,1,72,1,102842.14
170,2,11,1,31387.79
170,3,30,1,119847.34
171,1,98,2,5941.97
171,2,26,1,3719.22
172,1,83,2,228.74
173,1,18,1,201.11
173,2,84,1,150.36
173,3,80,1,632.4
174,1,6,2,92640.91
174,2,10,1,27737.71
174,3,64,1,95514.99
175,1,60,1,811.09
175,2,81,1,175.29
176,1,19,1,6438.95
176,2,59,1,5499.04
177,1,57,2,198.5
178,1,58,1,537.7
178,2,85,1,228.49
178,3,97,2,162.29
179,1,47,1,77193.61
179,2,79,1,156169.91
180,1,33,2,663.66
181,1,66,1,842.06
182,1,40,1,219.82
182,2,68,1,600.6
182,3,21,1,852.95
183,1,89,1,191.83
184,1,95,1,33158.33
184,2,76,1,158237.16
185,1,4,1,729.4
185,2,63,1,925.59
186,1,26,1,3291.44
187,1,19,1,901.94
187,2,64,1,508.6
188,1,10,1,1351.83
188,2,44,2,1746.15
188,3,69,2,2178.29
189,1,37,1,505.89
189,2,84,1,147.93
189,3,86,2,213.22
190,1,51,1,486.48
190,2,43,1,776.99
190,3,88,1,174.99
191,1,32,1,238.63
191,2,36,1,373.39
191,3,13,1,471.64
192,1,27,2,743.86
192,2,78,1,194.99
193,1,85,1,205.61
193,2,39,1,168.29
193,3,87,1,981.6
194,1,22,1,440.89
195,1,71,2,179.18
196,1,18,1,31615.25
197,1,31,1,919.87
198,1,46,1,963.49
198,2,48,2,674.5
198,3,68,2,602.27
199,1,9,1,208.05
200,1,47,1,501.47
200,2,68,1,670.58
200,3,55,2,490.7
201,1,25,1,217.93
202,1,66,1,844.62
202,2,52,1,572.55
202,3,27,1,768.53
203,1,72,1,511.55
203,2,87,1,844.55
204,1,56,1,6865.0
204,2,30,1,4835.5
204,3,28,1,6181.51
205,1,95,1,187.42
205,2,100,1,271.34
206,1,67,1,286.7
206,2,83,2,252.48
207,1,100,1,258.59
207,2,82,1,983.27
207,3,34,1,598.61
208,1,79,1,793.25
209,1,53,1,1044.55
209,2,48,1,700.41
210,1,45,1,3525.72
211,1,58,1,458.96
211,2,3,1,418.71
211,3,49,1,461.08
212,1,62,2,159.25
213,1,45,1,516.24
213,2,39,2,162.1
213,3,74,1,232.95
214,1,100,1,260.36
214,2,63,1,1030.42
214,3,87,1,1076.5
215,1,15,1,242.87
215,2,61,1,675.65
216,1,15,2,1833.35
216,2,66,1,5460.79
217,1,19,1,827.93
217,2,98,1,696.2
217,3,18,1,209.3
218,1,81,1,186.34
219,1,24,1,467.94
220,1,90,1,599.54
220,2,32,2,223.02
220,3,74,1,222.45
221,1,67,1,312.72
221,2,20,1,287.14
222,1,9,1,1822.75
222,2,30,1,5214.4
222,3,65,1,6175.41
223,1,67,1,321.86
223,2,84,1,140.4
223,3,22,1,605.24
224,1,39,1,146.4
224,2,44,1,237.98
225,1,81,1,29940.42
226,1,97,1,1256.27
227,1,26,1,446.8
227,2,47,1,564.21
227,3,18,1,191.0
228,1,66,1,704.16
228,2,71,1,136.76
228,3,91,1,532.91
229,1,78,1,203.45
229,2,80,1,665.12
230,1,75,1,178.94
230,2,38,1,699.28
231,1,64,1,517.87
231,2,100,1,252.94
232,1,69,1,243.83
233,1,14,1,133251.74
233,2,8,1,39917.01
234,1,57,1,214.41
234,2,100,1,288.37
234,3,23,1,791.85
235,1,19,2,908.99
235,2,58,1,602.46
235,3,22,1,575.48
236,1,48,1,487.77
236,2,52,1,468.39
237,1,71,1,161.1
237,2,49,1,550.36
238,1,52,1,570.28
238,2,68,2,585.05
238,3,19,1,857.82
239,1,6,1,560.17
239,2,56,1,835.61
240,1,75,1,194.75
240,2,28,1,748.78
241,1,13,1,498.12
241,2,46,1,902.64
242,1,39,1,23343.66
242,2,45,1,89755.77
243,1,73,1,450.0
243,2,97,1,132.41
243,3,67,1,228.24
244,1,76,1,969.83
244,2,12,2,908.39
245,1,75,1,185.83
245,2,42,1,453.28
245,3,23,1,673.48
246,1,4,2,793.2
246,2,100,1,264.32
246,3,65,2,937.85
247,1,99,1,91243.81
247,2,40,1,41764.86
247,3,93,1,124711.75
248,1,19,2,826.01
248,2,37,1,452.45
249,1,46,1,981.87
249,2,82,1,1084.62
249,3,72,1,612.49
250,1,53,1,7586.87
250,2,29,1,2059.02
251,1,51,1,511.54
251,2,53,1,1052.4
252,1,39,1,160.35
252,2,64,1,546.02
252,3,86,2,231.59
253,1,30,2,4603.66
253,2,21,1,8116.37
253,3,58,1,4288.6
254,1,87,1,785.19
255,1,95,1,222.99
255,2,82,1,1165.56
255,3,66,1,811.12
256,1,47,2,3599.02
256,2,1,2,8250.67
257,1,23,2,7070.92
257,2,98,2,5730.38
258,1,66,1,732.38
258,2,73,1,526.8
258,3,35,1,1135.3
259,1,34,1,547.47
259,2,44,1,232.38
259,3,16,1,421.78
260,1,43,1,777.71
260,2,42,1,578.27
260,3,39,1,153.01
261,1,55,1,3884.38
261,2,76,1,6625.19
261,3,41,1,1294.97
262,1,33,2,654.8
262,2,9,2,254.04
263,1,1,1,161621.96
263,2,78,1,32482.95
263,3,86,1,35896.3
264,1,91,1,686.58
264,2,81,1,185.95
265,1,49,1,465.35
265,2,39,1,135.9
266,1,30,2,700.2
266,2,15,1,238.76
266,3,34,1,655.4
267,1,64,1,96039.57
267,2,6,1,95243.51
267,3,68,1,104793.59
268,1,85,1,1464.87
269,1,72,1,694.51
269,2,76,1,960.02
270,1,89,1,177.0
270,2,70,2,163.23
271,1,4,1,661.11
271,2,32,1,182.19
272,1,46,1,795.25
272,2,12,1,893.61
272,3,87,2,1085.9
273,1,96,1,221.56
274,1,48,1,534.76
274,2,16,1,403.24
275,1,3,1,550.38
275,2,50,1,880.44
275,3,58,1,546.82
276,1,49,1,503.57
277,1,94,1,455.18
277,2,61,1,583.76
278,1,6,1,95038.69
279,1,69,1,308.02
280,1,87,1,931.74
280,2,25,2,205.47
281,1,51,1,3436.34
281,2,37,1,3322.83
282,1,93,1,128284.01
282,2,41,2,29487.16
283,1,47,1,485.26
284,1,21,2,942.02
284,2,32,1,249.27
284,3,50,1,931.35
285,1,41,1,1388.03
286,1,94,1,72350.59
286,2,24,1,80113.04
287,1,27,1,694.11
288,1,100,1,1970.48
289,1,23,2,739.12
289,2,15,2,244.6
289,3,17,1,164.32
290,1,81,1,30235.97
290,2,94,1,70284.2
290,3,37,1,70741.39
291,1,85,2,1500.27
291,2,68,2,5479.86
291,3,95,1,1748.15
292,1,27,1,591.17
293,1,33,2,579.71
293,2,87,2,921.26
294,1,81,1,28664.11
295,1,47,1,453.64
296,1,42,2,571.68
296,2,22,1,510.72
296,3,39,1,159.07
297,1,23,1,721.16
297,2,77,1,187.11
298,1,13,1,494.55
299,1,50,1,832.58
299,2,87,1,958.43
300,1,55,1,502.11
300,2,96,1,233.73
300,3,57,1,204.63
301,1,29,1,263.51
302,1,97,1,1293.11
302,2,32,1,1748.31
303,1,33,1,4786.45
304,1,2,1,194.46
304,2,69,1,310.99
304,3,74,1,216.96
305,1,38,1,5969.9
305,2,14,1,6033.24
306,1,80,2,664.82
306,2,17,1,173.16
307,1,15,1,37291.47
307,2,53,1,156142.05
308,1,20,2,297.71
308,2,67,1,310.0
309,1,39,1,184.59
309,2,6,2,582.27
309,3,80,1,686.5
310,1,2,2,33133.02
311,1,6,1,605.94
312,1,12,1,791.57
312,2,86,1,208.12
312,3,76,1,1001.89
313,1,61,1,99804.8
313,2,44,1,40694.19
313,3,99,1,94780.59
314,1,93,1,708.02
314,2,60,1,756.89
315,1,56,1,132116.3
316,1,45,1,3729.23
316,2,82,1,8195.38
316,3,65,1,6692.37
317,1,6,1,601.16
317,2,65,2,847.23
317,3,13,1,534.37
318,1,2,1,196.21
318,2,29,1,256.92
319,1,2,1,1542.67
319,2,75,1,1779.47
319,3,14,1,6540.11
320,1,31,1,659.03
321,1,77,1,1722.02
321,2,31,1,6327.09
321,3,27,1,6518.77
322,1,44,1,227.76
322,2,81,1,191.9
323,1,83,2,241.82
323,2,63,1,991.08
323,3,59,1,689.81
324,1,93,1,763.83
324,2,30,1,679.08
325,1,39,1,154.23
326,1,28,1,140115.49
326,2,8,1,39046.83
326,3,64,1,101234.06
327,1,13,1,530.65
328,1,35,1,1111.3
329,1,50,1,895.27
329,2,4,1,642.33
329,3,46,1,880.47
330,1,3,1,543.74
331,1,93,2,5677.43
331,2,5,1,1293.02
332,1,15,1,38439.63
333,1,66,1,850.06
333,2,43,1,861.38
333,3,59,1,674.04
334,1,36,2,412.43
334,2,63,1,871.89
334,3,15,1,266.65
335,1,15,1,40711.04
335,2,78,1,32145.19
336,1,73,1,530.09
336,2,38,1,775.56
337,1,41,1,26255.4
337,2,38,2,143078.74
338,1,25,1,242.69
339,1,18,1,208.71
339,2,94,1,421.71
340,1,82,1,1147.93
340,2,83,2,218.1
341,1,3,1,566.92
341,2,59,1,656.47
341,3,45,1,497.11
342,1,78,1,1662.04
343,1,27,1,792.38
343,2,63,1,1028.46
344,1,71,1,1367.82
344,2,9,1,1885.42
345,1,43,1,781.77
346,1,55,1,431.96
347,1,65,1,6401.17
347,2,27,1,5504.2
347,3,74,1,1696.23
348,1,33,1,584.23
348,2,88,1,165.16
348,3,14,2,817.83
349,1,94,1,372.18
349,2,93,1,634.9
350,1,36,1,67235.61
350,2,49,1,91528.59
351,1,48,1,602.35
351,2,47,1,533.52
351,3,30,1,737.49
352,1,77,2,220.9
353,1,94,1,3131.43
354,1,49,1,456.81
354,2,22,1,544.33
354,3,7,1,158.91
355,1,67,1,310.29
355,2,72,1,639.48
356,1,72,1,4661.35
357,1,19,1,132275.28
357,2,33,1,93897.81
357,3,38,1,117925.64
358,1,97,1,156.94
359,1,34,1,99293.88
360,1,90,1,5446.71
361,1,80,1,621.27
361,2,51,1,462.05
361,3,40,1,255.17
362,1,97,1,26902.11
363,1,30,1,572.66
363,2,17,1,127.95
364,1,72,1,566.69
365,1,76,2,1033.74
365,2,47,1,529.65
366,1,21,2,953.94
366,2,83,1,228.89
367,1,42,1,491.34
367,2,83,1,212.65
368,1,44,1,1650.16
368,2,82,1,7343.62
368,3,79,2,7222.15
369,1,100,1,279.29
369,2,65,1,904.69
370,1,100,2,2177.35
370,2,23,1,6015.4
371,1,58,2,569.26
371,2,75,2,208.23
372,1,76,2,961.31
372,2,39,1,169.05
372,3,14,1,859.86
373,1,29,1,250.1
373,2,15,1,199.07
373,3,21,2,1021.32
374,1,11,1,30522.5
374,2,100,1,40196.95
374,3,92,1,202652.18
375,1,23,1,797.59
376,1,72,1,115751.17
376,2,73,1,79842.33
376,3,55,1,69905.22
377,1,39,2,170.07
378,1,13,1,427.23
378,2,25,1,182.66
378,3,99,1,478.98
379,1,64,1,554.76
379,2,51,1,444.77
380,1,31,1,810.02
380,2,49,2,516.95
380,3,45,2,529.41
381,1,38,1,795.91
382,1,31,1,886.26
382,2,65,1,862.25
382,3,22,1,559.94
383,1,85,1,159.66
383,2,8,1,180.23
384,1,86,2,190.62
384,2,46,1,732.0
384,3,7,1,145.45
385,1,73,1,489.98
385,2,48,1,560.12
385,3,61,1,558.8
386,1,16,1,417.33
386,2,35,1,1058.32
387,1,96,1,202.31
387,2,76,1,954.48
387,3,33,1,606.09
388,1,49,1,562.88
388,2,52,1,590.81
389,1,99,1,580.47
389,2,71,2,175.14
390,1,17,1,147.8
390,2,66,1,685.03
390,3,36,1,411.24
391,1,21,1,980.49
391,2,43,1,821.69
391,3,59,2,610.58
392,1,17,1,148.28
392,2,85,1,213.91
393,1,85,1,1625.22
393,2,37,1,3444.15
393,3,74,1,1906.81
394,1,60,2,788.95
394,2,40,1,277.89
394,3,45,1,553.32
395,1,64,1,4279.02
396,1,97,2,26455.74
396,2,91,1,119549.49
397,1,84,1,155.46
398,1,30,1,536.08
398,2,3,1,445.59
399,1,19,1,847.71
399,2,96,1,216.0
399,3,9,1,243.51
400,1,93,1,723.86
400,2,38,1,832.63
400,3,14,1,813.08
401,1,60,1,908.03
401,2,20,1,292.61
402,1,22,1,497.72
402,2,12,1,943.38
403,1,44,2,227.16
403,2,83,1,230.49
404,1,77,2,210.7
404,2,35,1,1139.25
404,3,29,1,238.98
405,1,2,1,199.35
405,2,87,1,1050.67
405,3,23,1,763.92
406,1,99,1,576.69
407,1,96,1,237.69
407,2,57,1,201.71
408,1,52,1,441.48
408,2,8,1,184.11
408,3,95,1,183.3
409,1,85,2,218.85
409,2,92,2,1047.4
409,3,52,1,713.01
410,1,22,1,4504.92
410,2,26,1,3444.75
411,1,55,1,468.86
411,2,16,1,357.5
412,1,4,1,723.6
413,1,58,1,4614.28
413,2,10,1,1200.16
414,1,63,1,1042.59
414,2,39,1,151.48
415,1,56,1,988.68
415,2,61,1,631.82
415,3,90,1,793.35
416,1,37,1,3754.01
416,2,57,1,1486.09
416,3,44,1,1682.91
417,1,85,1,30020.16
417,2,71,1,29551.98
417,3,45,1,69380.82
418,1,85,1,33041.17
418,2,39,1,25777.47
419,1,77,1,202.98
419,2,66,1,787.7
419,3,68,1,712.38
420,1,38,1,844.8
420,2,57,1,219.79
421,1,6,1,513.13
422,1,12,1,908.41
423,1,13,1,420.48
423,2,42,1,527.69
424,1,27,1,792.17
424,2,68,2,657.42
425,1,14,1,614.43
425,2,12,1,702.87
426,1,44,1,1720.88
427,1,91,1,109075.73
427,2,3,2,88801.28
428,1,7,1,128.16
429,1,72,1,523.87
429,2,38,1,845.54
429,3,97,1,147.25
430,1,60,1,154056.83
430,2,29,2,38656.11
430,3,78,1,32004.47
431,1,16,1,329.55
431,2,30,1,510.54
431,3,61,1,537.93
432,1,81,1,187.39
432,2,12,1,904.94
433,1,67,1,318.47
434,1,67,1,49553.84
435,1,64,1,508.18
436,1,50,1,154423.69
436,2,53,1,162569.19
436,3,98,1,122419.8
437,1,76,1,922.73
437,2,36,1,435.27
438,1,50,1,977.57
439,1,53,1,976.05
439,2,3,1,512.03
440,1,77,1,229.35
440,2,36,1,437.68
441,1,15,1,251.33
441,2,26,1,441.26
441,3,40,1,263.74
442,1,41,1,26561.33
443,1,64,1,88241.76
443,2,57,1,33284.83
444,1,42,1,541.03
444,2,63,1,950.83
445,1,63,2,145362.56
445,2,13,1,87247.59
446,1,99,2,488.21
447,1,54,1,489.91
447,2,53,1,911.51
447,3,21,2,859.11
448,1,54,2,509.31
449,1,23,1,768.82
450,1,19,1,753.03
450,2,90,2,598.56
450,3,45,2,432.53
451,1,28,1,960.36
451,2,71,1,171.68
451,3,85,1,177.74
452,1,5,1,1301.82
452,2,45,1,3563.36
453,1,20,1,241.65
454,1,15,1,233.09
454,2,1,1,1085.72
455,1,32,1,1746.28
455,2,35,1,7750.44
456,1,75,1,1556.92
456,2,88,1,1374.61
456,3,1,2,7227.55
457,1,89,1,210.37
457,2,70,1,167.23
458,1,54,1,460.12
458,2,75,1,176.2
458,3,42,1,487.93
459,1,41,1,173.32
459,2,20,1,275.9
459,3,33,1,574.84
460,1,46,1,839.08
461,1,13,1,3994.29
461,2,57,1,1569.15
461,3,85,1,1589.27
462,1,61,2,639.61
462,2,36,2,466.77
463,1,68,1,621.02
463,2,86,1,217.73
463,3,7,1,153.46
464,1,59,1,710.96
465,1,20,1,2279.85
465,2,28,1,7520.32
465,3,48,1,4135.66
466,1,93,1,703.18
466,2,80,1,664.87
466,3,82,1,1202.75
467,1,15,1,256.55
468,1,41,1,153.23
469,1,14,1,701.74
469,2,2,1,151.0
469,3,11,1,173.84
470,1,22,1,626.61
470,2,78,1,230.01
471,1,57,1,1521.0
472,1,86,1,203.47
472,2,12,1,825.16
472,3,61,1,598.24
473,1,64,1,502.09
473,2,17,1,162.88
474,1,56,2,6138.26
474,2,13,1,3859.02
475,1,87,1,1000.33
475,2,77,1,213.4
476,1,24,2,532.52
476,2,10,1,168.67
477,1,83,2,231.15
477,2,65,2,758.55
477,3,3,1,588.75
478,1,88,1,1482.29
479,1,5,1,163.49
479,2,28,1,805.28
480,1,96,1,235.65
480,2,47,2,491.77
480,3,38,1,783.91
481,1,62,1,165.0
481,2,44,1,237.68
482,1,51,2,461.71
482,2,65,1,762.92
482,3,83,1,241.56
483,1,85,1,198.61
484,1,83,1,241.12
484,2,90,1,678.71
484,3,31,1,805.13
485,1,39,1,145.56
486,1,35,1,8520.34
486,2,80,1,5102.03
487,1,82,1,190867.49
488,1,67,1,49326.75
488,2,12,1,140244.06
488,3,82,1,199736.41
489,1,9,1,38824.64
490,1,82,1,1073.2
490,2,24,1,554.56
491,1,6,1,588.89
491,2,91,1,627.97
491,3,22,1,518.15
492,1,14,1,798.65
492,2,9,1,249.46
493,1,95,2,226.99
493,2,47,1,515.35
494,1,93,1,644.51
494,2,31,1,747.32
494,3,84,1,127.77
495,1,41,1,151.89
495,2,48,1,479.75
495,3,18,1,221.76
496,1,72,1,4114.12
496,2,33,1,4624.78
496,3,26,1,3233.83
497,1,2,1,183.16
498,1,85,1,160.15
499,1,52,1,4728.47
500,1,3,2,4403.8
501,1,82,2,1109.29
502,1,84,2,150.19
502,2,80,1,657.16
502,3,6,1,615.87
503,1,14,1,749.09
503,2,13,1,388.15
503,3,39,1,133.78
504,1,32,1,232.15
505,1,51,1,76880.53
505,2,45,1,76950.09
505,3,38,1,146708.83
506,1,73,1,585.22
506,2,41,1,184.29
507,1,11,1,33511.74
508,1,61,1,4915.64
509,1,93,1,5484.79
509,2,99,2,4342.44
509,3,1,1,8121.44
510,1,74,1,1689.83
511,1,78,1,208.35
511,2,94,2,433.38
512,1,52,1,612.23
512,2,72,1,611.5
512,3,73,1,546.32
513,1,96,2,238.79
513,2,11,1,199.4
513,3,49,1,520.72
514,1,81,2,189.59
515,1,88,1,193.99
516,1,69,1,45345.23
516,2,40,1,43360.81
517,1,34,1,4523.43
517,2,11,2,1505.82
517,3,2,2,1521.7
518,1,82,1,8383.48
519,1,28,1,994.23
519,2,48,1,643.58
520,1,72,1,676.27
521,1,66,1,6231.7
521,2,41,1,1357.52
522,1,93,1,723.41
522,2,39,1,156.15
523,1,31,1,757.81
523,2,40,1,235.57
523,3,86,1,180.0
524,1,31,1,6555.79
524,2,24,1,4221.99
524,3,22,1,4833.48
525,1,76,2,708.98
526,1,64,2,542.68
526,2,86,1,213.47
526,3,93,1,688.24
527,1,22,1,552.21
528,1,44,1,218.14
528,2,51,1,492.96
528,3,95,1,184.57
529,1,54,1,86733.98
529,2,5,1,26282.47
529,3,25,1,36599.87
530,1,68,2,573.08
530,2,52,1,636.82
530,3,33,1,620.33
531,1,74,1,33828.81
531,2,31,1,131643.02
531,3,89,1,34632.78
532,1,57,1,196.81
532,2,14,1,803.5
533,1,46,1,6308.28
534,1,82,1,8431.82
534,2,79,2,7176.36
534,3,43,1,5917.91
535,1,39,1,160.36
536,1,91,1,602.2
536,2,39,1,143.32
537,1,38,1,770.81
537,2,78,1,205.8
537,3,57,1,200.28
538,1,57,1,34272.37
539,1,64,1,3880.95
539,2,89,1,1523.39
539,3,52,1,4649.84
540,1,86,1,213.87
541,1,69,2,326.46
541,2,32,1,267.5
541,3,14,1,847.19
542,1,22,2,530.35
542,2,81,1,165.88
543,1,28,1,893.28
543,2,94,1,371.08
544,1,87,1,820.61
545,1,3,1,449.42
546,1,42,1,539.26
547,1,83,1,194.12
547,2,62,1,138.65
547,3,88,2,155.94
548,1,37,1,489.93
548,2,16,2,454.03
549,1,51,2,74390.0
549,2,95,1,34186.99
550,1,53,1,977.21
550,2,79,1,824.82
550,3,88,1,172.49
551,1,88,1,158.2
551,2,95,1,159.19
552,1,40,1,39732.42
552,2,78,1,35556.14
553,1,95,1,215.52
553,2,86,1,207.47
